,Session Title/Poster Group,Poster #,Presentation Time,Title,Author(s),Paper ID
439,,135,15:20,CollaGAN: Collaborative GAN for Missing Image Data Imputation,Dongwook Lee; Junyoung Kim; Won-Jin Moon; Jong Chul Ye,6970
440,,136,15:20,Spatial Fusion GAN for Image Synthesis,Fangneng Zhan; Hongyuan Zhu; Shijian Lu,194
441,,137,15:20,Text Guided Person Image Synthesis,Xingran Zhou; Siyu Huang; Bin Li; Yingming Li; Jiachen Li; Zhongfei Zhang,1347
442,,138,15:20,STGAN: A Unified Selective Transfer Network for Arbitrary Image Attribute Editing,Ming Liu; Yukang Ding; Min Xia; Xiao Liu; Errui Ding; Wangmeng Zuo; Shilei Wen,1439
443,,139,15:20,Towards Instance-Level Image-To-Image Translation,Zhiqiang Shen; Mingyang Huang; Jianping Shi; Xiangyang Xue; Thomas S. Huang,1453
444,,140,15:20,Dense Intrinsic Appearance Flow for Human Pose Transfer,Yining Li; Chen Huang; Chen Change Loy,1637
445,,141,15:20,Depth-Aware Video Frame Interpolation,Wenbo Bao; Wei-Sheng Lai; Chao Ma; Xiaoyun Zhang; Zhiyong Gao; Ming-Hsuan Yang,1769
446,,142,15:20,Sliced Wasserstein Generative Models,Jiqing Wu; Zhiwu Huang; Dinesh Acharya; Wen Li; Janine Thoma; Danda Pani Paudel; Luc Van Gool,1891
447,,143,15:20,Deep Flow-Guided Video Inpainting,Rui Xu; Xiaoxiao Li; Bolei Zhou; Chen Change Loy,1892
448,,144,15:20,Video Generation From Single Semantic Label Map,Junting Pan; Chengyu Wang; Xu Jia; Jing Shao; Lu Sheng; Junjie Yan; Xiaogang Wang,1959
449,Computational Photography & Graphics,145,15:20,Polarimetric Camera Calibration Using an LCD Monitor,Zhixiang Wang; Yinqiang Zheng; Yung-Yu Chuang,50
450,,146,15:20,Fully Automatic Video Colorization With Self-Regularization and Diversity,Chenyang Lei; Qifeng Chen,1399
451,,147,15:20,"Zoom to Learn, Learn to Zoom",Xuaner Zhang; Qifeng Chen; Ren Ng; Vladlen Koltun,1597
452,,148,15:20,Single Image Reflection Removal Beyond Linearity,Qiang Wen; Yinjie Tan; Jing Qin; Wenxi Liu; Guoqiang Han; Shengfeng He,1787
